Occupation,Total,16-19,20-24,25-34,35-44,45-54,55-64,65<=,Median age,Year,Major Group,Minor Group,Broad Group,Detailed Occupation
management occupations,18986.0,74.0,573.0,3413.0,4728.0,4704.0,3863.0,1630.0,46.5,2021,11-0000,-,-,-
management occupations,18564.0,59.0,515.0,3285.0,4520.0,4733.0,3799.0,1653.0,46.9,2020,11-0000,-,-,-
management occupations,18985.0,62.0,536.0,3452.0,4524.0,4731.0,4024.0,1655.0,47,2019,11-0000,-,-,-
management occupations,18263.0,69.0,565.0,3259.0,4411.0,4666.0,3874.0,1420.0,46.6,2018,11-0000,-,-,-
management occupations,17804.0,75.0,554.0,3149.0,4203.0,4751.0,3704.0,1369.0,46.7,2017,11-0000,-,-,-
management occupations,17418.0,64.0,532.0,3031.0,4097.0,4758.0,3539.0,1395.0,46.9,2016,11-0000,-,-,-
management occupations,16994.0,60.0,534.0,3000.0,3972.0,4643.0,3452.0,1334.0,46.9,2015,11-0000,-,-,-
management occupations,16199.0,45.0,520.0,2753.0,3847.0,4484.0,3366.0,1183.0,47,2014,11-0000,-,-,-
management occupations,16037.0,51.0,463.0,2702.0,3762.0,4501.0,3378.0,1180.0,47.5,2013,11-0000,-,-,-
management occupations,16042.0,52.0,500.0,2691.0,3829.0,4571.0,3260.0,1140.0,47.1,2012,11-0000,-,-,-
management occupations,15250.0,42.0,451.0,2574.0,3724.0,4437.0,3003.0,1019.0,46.7,2011,11-0000,-,-,-
chief executives,1664.0,1.0,4.0,157.0,388.0,446.0,464.0,204.0,51.6,2021,11-0000,11-1000,11-1010,-
chief executives,1664.0,1.0,4.0,157.0,388.0,446.0,464.0,204.0,51.6,2021,11-0000,11-1000,11-1010,11-1011
chief executives,1669.0,0.0,7.0,138.0,368.0,465.0,463.0,227.0,52,2020,11-0000,11-1000,11-1010,-
chief executives,1669.0,0.0,7.0,138.0,368.0,465.0,463.0,227.0,52,2020,11-0000,11-1000,11-1010,11-1011
chief executives,1602.0,2.0,5.0,121.0,329.0,461.0,465.0,219.0,52.7,2019,11-0000,11-1000,11-1010,-
chief executives,1602.0,2.0,5.0,121.0,329.0,461.0,465.0,219.0,52.7,2019,11-0000,11-1000,11-1010,11-1011
chief executives,1573.0,0.0,3.0,147.0,349.0,467.0,413.0,193.0,51.5,2018,11-0000,11-1000,11-1010,-
chief executives,1573.0,0.0,3.0,147.0,349.0,467.0,413.0,193.0,51.5,2018,11-0000,11-1000,11-1010,11-1011
chief executives,1639.0,2.0,4.0,145.0,328.0,505.0,455.0,201.0,52.2,2017,11-0000,11-1000,11-1010,-
chief executives,1639.0,2.0,4.0,145.0,328.0,505.0,455.0,201.0,52.2,2017,11-0000,11-1000,11-1010,11-1011
chief executives,1649.0,2.0,11.0,120.0,309.0,560.0,449.0,198.0,52.2,2016,11-0000,11-1000,11-1010,-
chief executives,1649.0,2.0,11.0,120.0,309.0,560.0,449.0,198.0,52.2,2016,11-0000,11-1000,11-1010,11-1011
chief executives,1517.0,0.0,6.0,121.0,286.0,493.0,436.0,176.0,52.5,2015,11-0000,11-1000,11-1010,-
chief executives,1517.0,0.0,6.0,121.0,286.0,493.0,436.0,176.0,52.5,2015,11-0000,11-1000,11-1010,11-1011
chief executives,1603.0,1.0,11.0,134.0,289.0,518.0,487.0,163.0,52.3,2014,11-0000,11-1000,11-1010,-
chief executives,1603.0,1.0,11.0,134.0,289.0,518.0,487.0,163.0,52.3,2014,11-0000,11-1000,11-1010,11-1011
chief executives,1520.0,0.0,9.0,107.0,312.0,505.0,420.0,167.0,52.5,2013,11-0000,11-1000,11-1010,-
chief executives,1520.0,0.0,9.0,107.0,312.0,505.0,420.0,167.0,52.5,2013,11-0000,11-1000,11-1010,11-1011
chief executives,1513.0,1.0,5.0,107.0,318.0,532.0,413.0,136.0,52,2012,11-0000,11-1000,11-1010,-
chief executives,1513.0,1.0,5.0,107.0,318.0,532.0,413.0,136.0,52,2012,11-0000,11-1000,11-1010,11-1011
chief executives,1515.0,1.0,8.0,116.0,291.0,556.0,392.0,150.0,52,2011,11-0000,11-1000,11-1010,-
chief executives,1515.0,1.0,8.0,116.0,291.0,556.0,392.0,150.0,52,2011,11-0000,11-1000,11-1010,11-1011
general and operations managers,1085.0,2.0,30.0,258.0,303.0,272.0,173.0,47.0,43.4,2021,11-0000,11-1000,11-1020,-
general and operations managers,1085.0,2.0,30.0,258.0,303.0,272.0,173.0,47.0,43.4,2021,11-0000,11-1000,11-1020,11-1021
general and operations managers,1057.0,3.0,25.0,250.0,290.0,255.0,195.0,39.0,44.2,2020,11-0000,11-1000,11-1020,-
general and operations managers,1057.0,3.0,25.0,250.0,290.0,255.0,195.0,39.0,44.2,2020,11-0000,11-1000,11-1020,11-1021
general and operations managers,1058.0,0.0,19.0,258.0,282.0,257.0,196.0,46.0,44.2,2019,11-0000,11-1000,11-1020,-
general and operations managers,1058.0,0.0,19.0,258.0,282.0,257.0,196.0,46.0,44.2,2019,11-0000,11-1000,11-1020,11-1021
general and operations managers,1037.0,1.0,30.0,235.0,279.0,245.0,204.0,43.0,44.1,2018,11-0000,11-1000,11-1020,-
general and operations managers,1037.0,1.0,30.0,235.0,279.0,245.0,204.0,43.0,44.1,2018,11-0000,11-1000,11-1020,11-1021
